,footlength,Age,weightkg,stature,waistbreadth/chestbreadth,error,waistcircumference
261,284,22,916,1818,1.1143790849673203,36.36370849609375,969
262,276,30,871,1785,1.127946127946128,-24.107666015625,918
263,266,34,701,1666,1.038022813688213,-53.2958984375,776
264,273,28,1115,1781,1.2343234323432344,-3.2564697265625,1124
265,274,25,1084,1802,1.3092105263157894,24.0889892578125,1146
266,257,23,637,1669,1.0594795539033457,13.8377685546875,797
267,298,25,964,1837,1.2688172043010753,24.376220703125,1032
268,276,24,1054,1881,1.1666666666666667,-28.11572265625,1005
269,274,26,887,1782,1.1493055555555556,-30.702880859375,921
270,294,51,1145,1900,1.299674267100977,-7.2279052734375,1132
271,271,26,890,1755,1.116504854368932,31.800537109375,988
272,266,23,688,1730,1.0909090909090908,-19.593994140625,797
273,248,44,710,1624,1.0565371024734982,4.799560546875,897
274,259,30,1021,1755,1.1968253968253968,74.358642578125,1145
275,263,53,784,1703,1.2234042553191489,41.3092041015625,1003
276,272,29,1105,1762,1.3918918918918919,-7.107177734375,1175
277,251,34,819,1720,1.3157894736842106,3.27130126953125,987
278,255,34,871,1711,1.2094594594594594,22.2174072265625,1043
279,297,19,869,1927,1.041522491349481,-6.1817626953125,842
280,277,31,775,1784,1.0743243243243243,52.03125,915
281,277,26,1098,1835,1.1867088607594938,-3.87109375,1076
282,288,31,965,1823,1.0981012658227849,0.42559814453125,968
283,253,28,674,1640,0.9898305084745763,23.95245361328125,822
284,264,31,1026,1704,1.16,38.545654296875,1108
285,268,22,601,1730,1.0038022813688212,-19.19793701171875,719
286,263,26,676,1656,1.0909090909090908,46.82501220703125,869
287,272,28,867,1668,1.1642857142857144,-42.427734375,931
288,252,32,826,1635,1.1950354609929077,-56.0714111328125,939
289,295,28,862,1861,1.02020202020202,29.44171142578125,884
290,266,25,821,1667,1.1016949152542372,-8.92852783203125,912
291,263,21,675,1760,1.0104529616724738,37.2333984375,812
292,266,24,860,1752,1.0830670926517572,40.46356201171875,957
293,294,25,954,1886,1.134185303514377,52.97125244140625,1008
294,270,35,970,1729,1.1904761904761905,63.6727294921875,1121
295,270,25,895,1790,1.1608391608391608,-12.30303955078125,946
296,268,22,1016,1745,1.1206349206349207,17.22137451171875,1029
297,244,25,758,1677,1.1321428571428571,11.619873046875,913
298,277,24,715,1725,1.1025641025641026,-8.22357177734375,828
299,284,29,884,1748,1.1885521885521886,1.954345703125,972
300,249,29,459,1610,1.0775510204081633,-29.4405517578125,694
301,250,40,756,1705,1.0625,-26.1402587890625,872
302,283,27,995,1833,1.273037542662116,-30.759033203125,1010
303,273,36,1138,1820,1.2620481927710843,-17.7882080078125,1141
304,276,24,840,1776,1.1505376344086022,-4.37701416015625,908
305,293,24,1114,1791,1.301418439716312,-25.6683349609375,1091
306,306,33,902,1970,1.1833910034602075,-24.61822509765625,948
307,284,30,924,1814,1.1814946619217082,-32.188720703125,944
308,281,30,860,1782,1.1473354231974922,71.96795654296875,1012
309,267,36,842,1717,1.1263157894736842,-67.2989501953125,893
310,288,29,939,1860,1.1262135922330097,37.084228515625,992
311,267,22,921,1763,1.0868167202572347,-11.9100341796875,939
312,251,22,724,1624,1.2272727272727273,-1.04638671875,912
313,258,24,886,1723,1.2316176470588236,-63.65716552734375,942
314,243,30,753,1674,1.0795847750865053,-42.943115234375,848
315,294,30,857,1744,1.1471698113207547,-56.17718505859375,877
316,277,36,980,1748,1.2041522491349481,32.126220703125,1086
317,273,42,744,1805,1.2823529411764707,-6.880615234375,902
318,265,21,680,1775,1.1466165413533835,-2.871337890625,826
319,273,42,677,1730,1.0932835820895523,-23.49456787109375,815
320,262,20,735,1740,1.2293233082706767,26.7431640625,919
321,264,32,649,1752,1.0597609561752988,-28.1217041015625,766
